Modelo,Color,ene-23,feb-23,mar-23,abr-23,may-23,jun-23
1060,BCO,201,168,261,303,375,383
1060,BGE,317,232,509,510,643,738
1060,NGO,203,100,202,167,203,233
1061,BCO,0,0,8,0,0,1
1061,NDE,107,187,378,294,395,428
1061,NGO,82,97,198,130,139,186
1700,BCO,12,0,0,0,0,0
1700,NGO,6,0,0,0,0,0
1751,BCO,244,263,303,233,349,354
1751,BGE,269,352,433,344,527,551
1751,NGO,141,202,219,114,188,208
1870,CHI,1274,948,1255,1197,2141,1324
1870,NGO,867,481,678,682,1275,651
1876,COC,0,1,0,44,21,0
1876,NGO,0,0,0,28,21,0
2023,NGO,0,0,0,536,0,0
2024,ROS,0,0,0,531,0,0
2025,COC,0,0,0,0,505,0
2026,COC,0,0,0,0,493,0
203,BCO,17,0,0,0,0,0
203,NDE,27,0,0,0,0,0
2038,BCO,0,0,0,0,0,495
2038,NGO,0,0,0,0,0,495
2060,BCO,620,579,709,648,725,835
2060,BGE,596,493,641,603,735,780
2060,NGO,322,282,403,244,368,355
2061,NDE,69,76,99,122,163,148
2061,NGO,55,67,97,85,97,116
2090,BCO,758,168,381,663,1400,242
2090,BGE,600,115,381,580,1270,188
2090,CAF,37,0,105,0,63,0
2090,NGO,520,76,295,475,954,121
2090,VIN,3,0,0,0,0,0
2095,AZU,12,0,48,0,21,0
2095,CHI,382,55,346,493,343,119
2095,CHO,0,0,0,0,0,12
2095,MAU,0,0,27,1,66,18
2146,CHI,116,143,168,0,0,0
2146,NGO,115,128,136,0,0,0
2170,COC,0,0,0,9,29,0
2290,CHI,0,0,0,0,0,16
2806,DUR,0,0,0,0,0,12
3060,NDE,0,0,0,510,526,0
4301,BCO,0,0,4,2,0,0
470,NDE,1,0,6,0,0,0
470,NGO,1,0,3,0,0,0
480,BCO,66,0,0,0,0,0
480,NDE,1,0,120,0,0,0
483,BCO,0,0,0,7,0,0
483,NDE,0,0,0,7,12,0
5224,COC,335,0,0,0,0,0
5224,NGO,335,0,0,0,0,0
5225,AVE,335,0,0,0,0,0
5225,BCO,335,0,0,0,0,0
5225,MAU,335,0,0,0,0,0
5751,BCO,6,2,0,0,0,0
5751,BGE,24,3,0,0,0,0
5751,NGO,24,2,0,0,0,0
601,COC,0,0,0,0,0,9
601,NGO,0,0,0,8,0,4
6079,BCO,7,37,0,2,15,0
6079,NGO,6,2,6,1,6,0
6101,BCO,6,0,0,0,43,0
6101,NGO,0,0,0,0,19,0
7401,BCO,0,0,0,0,6,0
8060,BCO,404,277,435,441,604,309
8060,NDE,656,490,607,633,932,624
8060,NGO,673,423,504,436,733,522
8095,CHI,0,0,18,0,0,0
8751,BCO,6,0,0,8,13,0
8751,NDE,78,24,67,105,96,29
8751,NGO,49,10,29,24,27,0
9003,BCO,23,9,40,17,16,21
9003,NDE,25,23,40,72,70,38
9003,NGO,20,5,26,13,8,20
9020,BCO,0,0,0,0,24,0
9020,NDE,0,0,0,0,35,0
